timestamp,capteurA,capteurB,PIR,label
2481287,1,1,1,rien
2481698,1,1,1,rien
2481904,1,1,1,rien
2482109,0,1,1,rien
2482319,0,1,1,rien
2482522,1,1,1,rien
2482728,1,0,1,entrer
2482934,1,1,1,rien
2483346,1,1,1,rien
2483552,1,1,1,rien
2483758,1,1,1,rien
2483963,1,1,1,rien
2484168,1,1,1,rien
2484374,1,1,1,rien
2484579,0,1,1,rien
2484785,1,1,1,rien
2484989,1,1,1,rien
2485195,1,0,1,entrer
2485401,1,1,1,rien
2485607,1,1,1,rien
2485813,1,1,1,rien
2486019,1,1,1,rien
2486225,1,1,1,rien
2486430,1,1,1,rien
2486636,1,1,1,rien
2487048,1,1,1,rien
2487253,1,0,1,entrer
2487459,1,1,1,rien
2487665,1,1,1,rien
2487870,1,1,1,rien
2488076,1,1,1,rien
2488282,1,1,1,rien
2488488,1,1,1,rien
2488694,1,1,1,rien
2488901,1,1,1,rien
2489106,1,1,1,rien
2489312,0,1,1,rien
2489518,1,1,1,rien
2489724,1,0,1,entrer
2489930,1,1,1,rien
2490136,1,1,1,rien
2490341,1,1,1,rien
2490547,1,1,1,rien
2490753,1,1,1,rien
2490958,1,1,1,rien
2491164,1,1,1,rien
2491370,1,1,1,rien
2491575,0,1,1,rien
2491781,1,1,1,rien
2491987,1,0,1,entrer
2492193,1,1,1,rien
2492399,1,1,1,rien
2492603,1,1,1,rien
2492809,1,1,1,rien
2493015,1,1,1,rien
2493221,1,1,1,rien
2493426,1,1,1,rien
2493632,1,1,1,rien
2493838,1,1,1,rien
2494044,1,1,1,rien
2494250,1,1,1,rien
2494456,1,1,1,rien
2494662,1,1,1,rien
2494868,1,1,0,rien
2495074,1,1,0,rien
2495279,1,1,0,rien
2495484,1,1,0,rien
2495690,1,1,0,rien
2495896,1,1,0,rien
2496102,1,1,0,rien
2496308,1,1,0,rien
2496514,1,1,0,rien
2496720,1,1,0,rien
2496926,1,1,0,rien
2497131,1,1,0,rien
2497337,1,1,0,rien
2497546,1,1,0,rien
2497748,1,1,0,rien
2497954,1,1,0,rien
2498160,0,1,0,rien
2498366,0,1,0,rien
2498571,1,1,0,rien
2498777,1,0,0,rien
2498983,1,1,0,rien
2499188,1,1,0,rien
2499394,1,1,0,rien
2499599,1,1,1,rien
2499805,1,1,1,rien
2500010,1,1,1,rien
2500215,1,1,1,rien
2500421,1,1,1,rien
2500627,1,1,1,rien
2500833,1,1,1,rien
2501039,1,1,1,rien
2501245,1,1,1,rien
2501450,0,1,1,rien
2501656,1,1,1,rien
2501862,1,0,1,entrer
2502068,1,1,1,rien
2502274,1,1,1,rien
2502480,1,1,1,rien
2502685,1,1,1,rien
2502891,1,1,1,rien
2503096,1,1,1,rien
2503302,1,1,1,rien
2503507,1,1,1,rien
2503713,0,1,1,rien
2503918,1,1,1,rien
2504124,1,1,1,rien
2504330,1,1,1,rien
2504535,1,1,1,rien
2504741,1,1,1,rien
2504947,1,1,1,rien
2505152,1,1,1,rien
2505358,1,1,1,rien
2505564,1,1,1,rien
2505769,0,1,1,rien
2505975,0,1,1,rien
2506181,1,1,1,rien
2506387,1,1,1,rien
2506592,1,1,1,rien
2506798,1,1,1,rien
2507004,1,1,1,rien
2507209,1,1,1,rien
2507415,1,1,1,rien
2507621,1,1,1,rien
2507827,1,1,1,rien
2508031,1,1,1,rien
2508236,1,1,1,rien
2508441,1,1,1,rien
2508647,1,1,1,rien
2508852,0,1,1,rien
2509058,0,1,1,rien
2509264,1,1,1,rien
2509470,1,0,1,entrer
2509676,1,1,1,rien
2509882,1,1,1,rien
2510088,1,1,1,rien
2510293,1,1,1,rien
2510499,1,1,1,rien
2510705,1,1,1,rien
2510910,1,1,1,rien
2511116,1,1,1,rien
2511322,1,1,1,rien
2511527,1,1,1,rien
2511733,0,1,1,rien
2511941,0,1,1,rien
2512146,1,1,1,rien
2512352,1,0,1,entrer
2512558,1,1,1,rien
2512767,1,1,1,rien
2512969,1,1,1,rien
2513175,1,1,1,rien
2513380,1,1,1,rien
2513586,1,1,1,rien
2513792,1,1,1,rien
2513997,1,1,1,rien
2514203,1,1,1,rien
2514409,0,1,1,rien
2514614,1,1,1,rien
2514820,1,0,1,entrer
2515026,1,1,1,rien
2515231,1,1,1,rien
2515437,1,1,1,rien
2515641,1,1,1,rien
2515847,1,1,1,rien
2516053,1,1,1,rien
2516259,0,1,1,rien
2516465,1,1,1,rien
2516671,1,0,1,entrer
2516877,1,1,1,rien
2517082,1,1,1,rien
2517288,1,1,1,rien
2517494,1,1,1,rien
2517700,1,1,1,rien
2517906,1,1,1,rien
2518112,0,1,1,rien
2518317,1,1,1,rien
2518523,1,1,1,rien
2518729,1,1,1,rien
2518935,1,1,1,rien
2519141,1,1,1,rien
2519347,1,1,1,rien
2519552,1,1,1,rien
2519758,1,1,1,rien
2519964,0,1,1,rien
2520169,0,1,1,rien
2520373,1,1,1,rien
2520578,1,0,1,rien
2520784,1,1,1,rien
2520990,1,1,1,rien
2521196,1,1,1,rien
2521402,1,1,1,rien
2521608,1,1,1,rien
2521814,1,1,1,rien
2522020,1,1,1,rien
2522226,1,1,1,rien
2522432,1,1,1,rien
2522638,1,1,1,rien
2522844,1,1,1,rien
2523050,1,1,1,rien
2523256,1,1,1,rien
2523462,1,0,1,rien
2523668,1,0,1,rien
2523874,1,1,1,rien
2524080,1,1,1,rien
2524286,1,1,1,rien
2524491,1,1,1,rien
2524696,1,1,1,rien
2524902,1,1,1,rien
2525108,1,1,1,rien
2525314,1,1,1,rien
2525520,0,1,1,rien
2525726,0,1,1,rien
2525932,1,1,1,rien
2526138,1,0,1,entrer
2526344,1,1,1,rien
2526550,1,1,1,rien
2526756,1,1,1,rien
2526961,1,1,1,rien
2527166,1,1,1,rien
2527372,0,1,1,rien
2527577,0,1,1,rien
2527783,1,1,1,rien
2527993,1,0,1,entrer
2528196,1,1,1,rien
2528401,1,1,1,rien
2528607,1,1,1,rien
2528812,1,1,1,rien
2529017,1,1,1,rien
2529223,0,1,1,rien
2529429,0,1,1,rien
2529635,1,1,1,rien
2529841,1,0,1,entrer
2530046,1,1,1,rien
2530251,1,1,1,rien
2530457,1,1,1,rien
2530662,1,1,1,rien
2530868,1,1,1,rien
2531073,0,1,1,rien
2531278,0,1,1,rien
2531484,1,1,1,rien
2531690,1,1,1,rien
2531895,1,1,1,rien
2532100,1,1,1,rien
2532306,1,1,1,rien
2532511,1,1,1,rien
2532717,1,1,1,rien
2532923,1,1,1,rien
2533129,1,1,1,rien
2533334,1,1,1,rien
2533540,0,1,1,rien
2533746,0,1,1,rien
2533951,1,1,1,rien
2534157,1,1,1,rien
2534363,1,1,1,rien
2534569,1,1,1,rien
2534775,1,1,1,rien
2534982,1,1,1,rien
2535187,0,1,1,rien
2535393,1,1,1,rien
2535599,1,1,1,rien
2535804,1,1,1,rien
2536010,1,1,1,rien
2536216,1,1,1,rien
2536421,1,1,1,rien
2536627,1,1,1,rien
2536833,1,1,1,rien
2537039,1,0,1,entrer
2537245,1,1,1,rien
2537451,1,1,1,rien
2537656,1,1,1,rien
2537862,1,1,1,rien
2538068,1,1,1,rien
2538274,1,1,1,rien
2538480,1,1,1,rien
2538684,1,1,1,rien
2538890,1,1,1,rien
2539096,0,1,1,rien
2539302,0,1,1,rien
2539507,1,1,1,rien
2539713,1,0,1,entrer
2539919,1,1,1,rien
2540124,1,1,1,rien
2540330,1,1,1,rien
2540535,1,1,1,rien
2540741,1,1,1,rien
2540947,1,1,1,rien
2541153,1,1,1,rien
2541358,0,1,1,rien
2541564,0,1,1,rien
2541770,0,1,1,rien
2541975,1,1,1,rien
2542181,1,0,1,entrer
2542387,1,1,1,rien
2542592,1,1,1,rien
2542798,1,1,1,rien
2543004,1,1,1,rien
2543213,1,1,1,rien
2543417,1,1,1,rien
2543622,1,1,1,rien
2543828,0,1,1,rien
2544034,0,1,1,rien
2544240,1,1,1,rien
2544445,1,1,1,rien
2544651,1,0,1,entrer
2544857,1,1,1,rien
2545063,1,1,1,rien
2545269,1,1,1,rien
2545475,1,1,1,rien
2545681,1,1,1,rien
2545887,1,1,1,rien
2546092,1,1,1,rien
2546297,0,1,1,rien
2546503,1,1,1,rien
2546709,1,1,1,rien
2546915,1,1,1,rien
2547121,1,1,1,rien
2547327,1,1,1,rien
2547532,1,1,1,rien
2547738,1,1,1,rien
2547944,1,1,1,rien
2548149,1,1,1,rien
2548355,1,0,1,entrer
2548560,1,0,1,rien
2548765,1,1,1,rien
2548971,1,1,1,rien
2549177,1,1,1,rien
2549383,1,1,1,rien
2549589,1,1,1,rien
2549795,1,1,1,rien
2550000,1,1,1,rien
2550206,1,1,1,rien
2550412,0,1,1,rien
2550618,0,1,1,rien
2550824,1,1,1,rien
2551030,1,1,1,rien
2551236,1,0,1,entrer
2551442,1,1,1,rien
2551648,1,1,1,rien
2551854,1,1,1,rien
2552059,1,1,1,rien
2552265,1,1,1,rien
2552471,1,1,1,rien
2552676,1,1,1,rien
2552882,1,1,1,rien
2553087,0,1,1,rien
2553292,1,1,1,rien
2553498,1,1,1,rien
2553703,1,0,1,entrer
2553908,1,1,1,rien
2554112,1,1,1,rien
2554317,1,1,1,rien
2554523,1,1,1,rien
2554729,1,1,1,rien
2554934,1,1,1,rien
2555139,1,1,1,rien
2555345,0,1,1,rien
2555551,0,1,1,rien
2555756,1,1,1,rien
2555962,1,1,1,rien
2556168,1,0,1,entrer
2556373,1,1,1,rien
2556579,1,1,1,rien
2556785,1,1,1,rien
2556990,1,1,1,rien
2557196,1,1,1,rien
2557401,1,1,1,rien
2557607,1,1,1,rien
2557813,0,1,1,rien
2558019,1,1,1,rien
2558225,1,1,1,rien
2558436,1,0,1,entrer
2558638,1,1,1,rien
2558842,1,1,1,rien
2559048,1,1,1,rien
2559254,1,1,1,rien
2559459,1,1,1,rien
2559665,1,1,1,rien
2559871,0,1,1,rien
2560076,0,1,1,rien
2560282,1,1,1,rien
2560488,1,1,1,rien
2560693,1,0,1,entrer
2560899,1,1,1,rien
2561105,1,1,1,rien
2561311,1,1,1,rien
2561517,1,1,1,rien
2561721,1,1,1,rien
2561927,1,1,1,rien
2562133,0,1,1,rien
2562339,0,1,1,rien
2562545,1,1,1,rien
2562751,1,1,1,rien
2562957,1,0,1,entrer
2563163,1,1,1,rien
2563369,1,1,1,rien
2563575,1,1,1,rien
2563781,1,1,1,rien
2563987,1,1,1,rien
2564193,1,1,1,rien
2564398,0,1,1,rien
2564604,1,1,1,rien
2564810,1,0,1,entrer
2565015,1,1,1,rien
2565221,1,1,1,rien
2565427,1,1,1,rien
2565632,1,1,1,rien
2565838,1,1,1,rien
2566044,1,1,1,rien
2566249,1,1,1,rien
2566455,0,1,1,rien
2566661,1,1,1,rien
2566867,1,1,1,rien
2567073,1,0,1,entrer
2567279,1,1,1,rien
2567485,1,1,1,rien
2567691,1,1,1,rien
2567897,1,1,1,rien
2568103,1,1,1,rien
2568309,1,1,1,rien
2568514,1,1,1,rien
2568719,0,1,1,rien
2568925,1,1,1,rien
2569131,1,0,1,entrer
2569337,1,1,1,rien
2569543,1,1,1,rien
2569749,1,1,1,rien
2569955,1,1,1,rien
2570161,1,1,1,rien
2570367,1,1,1,rien
2570572,0,1,1,rien
2570778,0,1,1,rien
2570984,1,1,1,rien
2571190,1,0,1,entrer
2571396,1,1,1,rien
2571602,1,1,1,rien
2571808,1,1,1,rien
2572014,1,1,1,rien
2572220,1,1,1,rien
2572426,1,1,1,rien
2572632,0,1,1,rien
2572838,0,1,1,rien
2573043,1,1,1,rien
2573249,1,0,1,entrer
2573455,1,1,1,rien
2573664,1,1,1,rien
2573867,1,1,1,rien
2574071,1,1,1,rien
2574276,1,1,1,rien
2574482,1,1,1,rien
2574688,0,1,1,rien
2574894,1,1,1,rien
2575099,1,0,1,entrer
2575305,1,1,1,rien
2575510,1,1,1,rien
2575715,1,1,1,rien
2575921,1,1,1,rien
2576126,1,1,1,rien
2576331,1,1,1,rien
2576537,1,1,1,rien
2576742,1,1,1,rien
2576947,1,1,1,rien
2577152,1,1,1,rien
2577357,1,1,1,rien
2577562,1,1,1,rien
2577768,1,1,1,rien
2577973,1,1,1,rien
2578178,1,1,0,rien
2578384,1,1,0,rien
2578589,1,1,0,rien
2578795,1,1,0,rien
2579001,1,1,0,rien
2579206,1,1,0,rien
2579411,1,1,0,rien
2579617,1,1,0,rien
2579823,1,1,0,rien
2580029,1,1,0,rien
2580235,1,1,0,rien
2580440,1,1,0,rien
2580645,1,1,0,rien
2580851,1,1,0,rien
2581055,1,1,0,rien
2581260,1,1,0,rien
2581466,1,1,0,rien
2581670,1,1,0,rien
2581875,1,1,0,rien
2582081,1,1,0,rien
2582287,1,1,0,rien
2582492,1,1,0,rien
2582698,1,1,0,rien
2582906,1,1,0,rien
2583111,1,1,1,rien
2583317,1,1,1,rien
2583523,1,1,1,rien
2583729,1,1,1,rien
2583935,1,1,1,rien
2584141,1,1,1,rien
2584346,1,1,1,rien
2584552,1,1,1,rien
2584756,1,1,1,rien
2584962,1,1,1,rien
2585168,1,1,1,rien
2585374,1,1,1,rien
2585579,1,1,1,rien
2585785,1,1,1,rien
2585991,1,1,1,rien
2586197,1,1,1,rien
2586403,1,1,1,rien
2586609,1,1,1,rien
2586814,1,1,1,rien
2587020,1,1,1,rien
2587226,1,1,1,rien
2587432,1,1,1,rien
2587638,1,1,1,rien
2587844,1,1,1,rien
2588050,1,1,1,rien
2588256,1,1,1,rien
2588462,1,1,1,rien
2588668,1,1,1,rien
2588878,1,1,1,rien
2589080,1,1,1,rien
2589286,1,1,1,rien
2589492,1,1,1,rien
2589698,1,1,1,rien
2589904,1,1,1,rien
2590110,1,1,1,rien
2590316,1,1,1,rien
2590522,1,1,1,rien
2590728,1,1,1,rien
2590934,1,1,1,rien
2591140,1,1,1,rien
2591346,1,1,1,rien
2591551,1,1,0,rien
2591756,1,1,0,rien
2591962,1,1,0,rien
2592168,1,1,0,rien
2592374,1,1,0,rien
2592580,1,1,0,rien
2592786,1,1,0,rien
2592992,1,1,0,rien
2593198,1,1,0,rien
2593404,1,1,0,rien
2593610,1,1,0,rien
2593816,1,1,0,rien
2594022,1,1,0,rien
2594227,0,1,0,rien
2594433,0,1,0,rien
2594639,0,1,0,rien
2594845,1,1,0,rien
2595051,1,0,0,rien
2595257,1,1,0,rien
2595462,1,1,0,rien
2595668,1,1,0,rien
2595874,1,1,0,rien
2596080,1,1,0,rien
2596286,1,1,0,rien
2596492,1,1,0,rien
2596697,1,1,0,rien
2596903,1,1,0,rien
2597108,1,1,0,rien
2597313,1,1,1,rien
2597519,1,1,1,rien
2597725,1,1,1,rien
2597931,1,1,1,rien
2598137,1,1,1,rien
2598343,1,1,1,rien
2598549,1,1,1,rien
2598754,1,1,1,rien
2598960,1,1,1,rien
2599166,1,1,1,rien
2599372,1,1,1,rien
2599578,1,1,1,rien
2599784,1,1,1,rien
2599989,1,1,1,rien
2600193,1,1,1,rien
2600398,1,1,1,rien
2600604,1,1,0,rien
2600810,1,1,0,rien
2601015,1,1,0,rien
2601220,1,1,0,rien
2601426,1,1,0,rien
2601631,1,1,0,rien
2601836,1,1,0,rien
2602042,1,1,0,rien
2602247,1,1,0,rien
2602452,1,1,0,rien
2602658,1,1,0,rien
2602864,0,1,0,rien
2603069,0,1,0,rien
2603275,1,1,0,rien
2603481,1,0,0,rien
2603686,1,1,0,rien
2603892,1,1,0,rien
2604100,1,1,0,rien
2604304,1,1,0,rien
2604510,1,1,0,rien
2604717,1,1,0,rien
2604922,1,1,0,rien
2605128,1,1,0,rien
2605334,1,1,0,rien
2605539,1,1,0,rien
2605745,1,1,0,rien
2605951,1,1,0,rien
2606156,1,1,0,rien
2606362,1,1,0,rien
2606568,1,1,1,rien
2606774,1,1,1,rien
2606980,1,1,1,rien
2607186,1,1,1,rien
2607391,0,1,1,rien
2607597,0,1,1,rien
2607801,1,1,1,rien
2608007,1,0,1,entrer
2608213,1,1,1,rien
2608419,1,1,1,rien
2608625,1,1,1,rien
2608831,1,1,1,rien
2609037,1,1,1,rien
2609243,1,1,1,rien
2609449,1,1,1,rien
2609655,1,1,1,rien
2609861,1,1,1,rien
2610067,1,1,1,rien
2610273,1,1,1,rien
2610478,1,1,1,rien
2610684,1,1,1,rien
2610890,1,1,1,rien
2611096,1,1,1,rien
2611302,1,1,1,rien
2611507,1,1,1,rien
2611713,1,1,1,rien
2611919,1,1,0,rien
2612125,1,1,0,rien
2612331,1,1,0,rien
2612537,1,1,0,rien
2612743,1,1,0,rien
2612949,1,1,0,rien
2613155,1,1,0,rien
2613361,1,1,0,rien
2613566,1,1,0,rien
2613772,1,1,0,rien
2613978,1,1,0,rien
2614183,0,1,0,rien
2614389,0,1,0,rien
2614594,1,1,0,rien
2614799,1,0,0,rien
2615005,1,1,0,rien
2615211,1,1,0,rien
2615417,1,1,0,rien
2615623,1,1,0,rien
2615829,1,1,0,rien
2616034,1,1,0,rien
2616240,1,1,0,rien
2616446,1,1,0,rien
2616651,1,1,0,rien
2616857,1,1,0,rien
2617063,1,1,0,rien
2617268,1,1,0,rien
2617473,1,1,0,rien
2617679,1,1,0,rien
2617885,1,1,0,rien
2618091,1,1,0,rien
2618297,1,1,1,rien
2618503,1,1,1,rien
2618709,1,1,1,rien
2618915,0,1,1,rien
2619120,0,1,1,rien
2619330,1,1,1,rien
2619532,1,1,1,rien
2619738,1,1,1,rien
2619943,1,1,1,rien
2620148,1,1,1,rien
2620354,1,1,1,rien
2620560,1,1,1,rien
2620766,1,1,1,rien
2620971,1,0,1,entrer
2621177,1,1,1,rien
2621383,1,1,1,rien
2621589,1,1,1,rien
2621795,1,1,1,rien
2622001,1,1,1,rien
2622206,1,1,1,rien
2622412,1,1,1,rien
2622617,1,1,1,rien
2622822,1,1,1,rien
2623027,1,1,1,rien
2623231,1,1,1,rien
2623437,1,1,1,rien
2623642,1,1,1,rien
2623848,1,1,1,rien
2624053,1,1,1,rien
2624259,1,1,1,rien
2624465,1,1,1,rien
2624670,1,1,1,rien
2624876,1,1,1,rien
2625082,1,1,1,rien
2625287,1,1,1,rien
2625493,1,1,1,rien
2625699,1,1,1,rien
2625905,1,1,1,rien
2626110,1,1,1,rien
2626316,1,1,1,rien
2626522,1,1,1,rien
2626727,1,1,1,rien
2626933,1,1,0,rien
2627139,1,1,0,rien
2627345,1,1,0,rien
2627551,1,1,0,rien
2627758,1,1,0,rien
2627963,1,1,0,rien
2628169,1,1,0,rien
2628375,1,1,0,rien
2628580,1,1,0,rien
2628786,1,1,0,rien
2628992,1,1,0,rien
2629197,1,1,0,rien
2629403,1,1,0,rien
2629609,1,1,0,rien
2629815,1,1,0,rien
2630021,1,1,0,rien
2630227,1,1,0,rien
2630432,1,1,0,rien
2630638,1,1,0,rien
2630842,0,1,0,rien
2631048,0,1,0,rien
2631254,0,1,0,rien
2631460,0,1,0,rien
2631665,0,1,1,rien
2631871,1,1,1,rien
2632077,1,1,1,rien
2632282,1,0,1,entrer
2632488,1,1,1,rien
2632694,1,1,1,rien
2632900,1,1,1,rien
2633106,1,1,1,rien
2633312,1,1,1,rien
2633517,1,1,1,rien
2633723,1,1,1,rien
2633929,1,1,1,rien
2634135,1,1,1,rien
2634341,1,1,1,rien
2634551,1,1,1,rien
2634754,1,1,1,rien
2634959,1,1,1,rien
2635165,1,1,1,rien
2635371,1,1,1,rien
2635577,1,1,1,rien
2635783,1,1,1,rien
2635989,1,1,0,rien
2636195,1,1,0,rien
2636401,1,1,0,rien
2636607,1,1,0,rien
2636813,1,1,0,rien
2637019,1,1,0,rien
2637224,1,1,0,rien
2637430,1,1,0,rien
2637636,1,1,0,rien
2637842,1,1,0,rien
2638048,1,1,0,rien
2638254,1,1,0,rien
2638460,1,1,0,rien
2638666,1,1,0,rien
2638872,1,1,0,rien
2639077,1,1,0,rien
2639283,1,1,0,rien
2639489,1,1,0,rien
2639694,1,1,0,rien
2639900,1,1,0,rien
2640105,1,1,0,rien
2640310,1,1,0,rien
2640515,1,1,0,rien
2640721,1,1,1,rien
2640927,1,1,1,rien
2641133,1,1,1,rien
2641339,1,1,1,rien
2641544,1,1,1,rien
2641749,1,1,1,rien
2641955,1,1,1,rien
2642161,1,1,1,rien
2642367,1,1,1,rien
2642573,1,1,1,rien
2642778,1,1,1,rien
2642983,1,1,1,rien
2643189,1,1,1,rien
2643395,1,1,1,rien
2643601,1,1,1,rien
2643807,1,1,1,rien
2644012,1,1,1,rien
2644217,1,1,1,rien
2644423,1,1,1,rien
2644628,1,1,1,rien
2644834,1,1,1,rien
2645040,1,1,1,rien
2645245,1,1,1,rien
2645451,1,1,1,rien
2645657,1,1,0,rien
2645862,1,1,0,rien
2646067,1,1,0,rien
2646271,1,1,0,rien
2646476,1,1,0,rien
2646682,1,1,0,rien
2646888,1,1,0,rien
2647093,1,1,0,rien
2647298,1,1,0,rien
2647504,1,1,0,rien
2647710,1,1,0,rien
2647915,1,1,0,rien
2648121,1,1,0,rien
2648326,1,1,0,rien
2648531,1,1,0,rien
2648737,1,1,0,rien
2648942,1,1,0,rien
2649147,1,1,0,rien
2649353,1,1,0,rien
2649559,1,1,0,rien
2649768,1,1,0,rien
2649970,1,1,0,rien
2650176,1,1,0,rien
2650381,1,1,0,rien
2650587,1,1,0,rien
2650791,1,1,1,rien
2650996,1,1,1,rien
2651202,1,1,1,rien
2651408,0,1,1,rien
2651614,0,1,1,rien
2651820,0,1,1,rien
2652027,1,1,1,rien
2652233,1,0,1,entrer
2652439,1,1,1,rien
2652645,1,1,1,rien
2652850,1,1,1,rien
2653056,1,1,1,rien
2653262,1,1,1,rien
2653468,1,1,1,rien
2653674,1,1,1,rien
2653879,1,1,0,rien
2654085,1,1,0,rien
2654291,1,1,0,rien
2654497,1,1,0,rien
2654702,0,1,0,rien
2654908,0,1,0,rien
2655114,1,0,0,rien
2655320,1,1,0,rien
2655526,1,1,0,rien
2655732,1,1,0,rien
2655937,1,1,0,rien
2656143,1,1,0,rien
2656349,1,1,0,rien
2656554,1,1,0,rien
2656760,1,1,0,rien
2656966,1,1,0,rien
2657172,1,1,0,rien
2657378,1,1,0,rien
2657584,1,1,0,rien
2657790,0,1,0,rien
2657996,0,1,0,rien
2658202,0,1,0,rien
2658408,1,1,0,rien
2658614,1,1,0,rien
2658820,1,0,0,rien
2659026,1,0,0,rien
2659232,1,1,1,rien
2659438,1,1,1,rien
2659643,1,1,1,rien
2659849,1,1,1,rien
2660055,1,1,1,rien
2660261,1,1,1,rien
2660467,1,1,1,rien
2660673,1,1,1,rien
2660879,1,1,1,rien
2661085,1,1,1,rien
2661291,1,1,1,rien
2661496,0,1,1,rien
2661702,0,1,1,rien
2661908,0,1,1,rien
2662113,1,1,1,rien
2662319,1,1,1,rien
2662525,1,0,1,entrer
2662730,1,0,1,rien
2662936,1,0,1,rien
2663141,1,1,1,rien
2663347,1,1,1,rien
2663553,1,1,1,rien
2663759,1,1,1,rien
2663965,1,1,1,rien
2664171,1,1,1,rien
2664377,1,1,1,rien
2664582,1,1,1,rien
2664788,1,1,1,rien
2664998,1,1,1,rien
2665201,0,1,1,rien
2665405,0,1,1,rien
2665610,0,1,1,rien
2665816,1,1,1,rien
2666022,1,0,1,entrer
2666228,1,1,1,rien
2666434,1,1,1,rien
2666640,1,1,1,rien
2666846,1,1,1,rien
2667052,1,1,1,rien
2667257,1,1,1,rien
2667463,1,1,1,rien
2667668,1,1,1,rien
2667874,1,1,1,rien
2668080,1,1,1,rien
2668285,1,1,1,rien
2668490,1,1,1,rien
2668696,1,1,1,rien
2668902,1,1,1,rien
2669107,1,1,1,rien
2669311,1,1,1,rien
2669516,1,1,1,rien
2669721,1,1,1,rien
2669927,1,1,1,rien
2670133,1,1,1,rien
2670338,1,1,0,rien
2670544,1,1,0,rien
2670749,1,1,0,rien
2670955,1,1,0,rien
2671161,1,1,0,rien
2671366,1,1,0,rien
2671571,1,1,0,rien
2671777,1,1,0,rien
2671982,1,1,0,rien
2672187,1,1,0,rien
2672393,1,1,0,rien
2672598,1,1,0,rien
2672803,1,1,0,rien
2673009,1,1,0,rien
2673215,1,1,0,rien
2673420,1,1,0,rien
2673626,1,1,0,rien
2673832,1,1,0,rien
2674037,1,1,0,rien
2674243,0,1,0,rien
2674449,0,1,0,rien
2674655,0,1,0,rien
2674861,0,1,0,rien
2675068,0,1,0,rien
2675274,0,1,1,rien
2675480,1,1,1,rien
2675686,1,1,1,rien
2675891,1,1,1,rien
2676097,1,1,1,rien
2676303,1,0,1,entrer
2676508,1,0,1,rien
2676714,1,1,1,rien
2676918,1,1,1,rien
2677124,1,1,1,rien
2677330,1,1,1,rien
2677536,1,1,1,rien
2677741,1,1,1,rien
2677947,1,1,1,rien
2678153,1,1,1,rien
2678358,1,1,1,rien
2678564,1,1,1,rien
2678770,1,1,1,rien
2678976,1,1,1,rien
